year,residential_status,long_term_unemployed
1992,resident,4200
1993,resident,4200
1994,resident,4500
1995,resident,4000
1996,resident,5500
1997,resident,5700
1998,resident,11800
1999,resident,18300
2001,resident,15100
2002,resident,23400
2003,resident,24800
2004,resident,22500
2005,resident,18800
2006,resident,13500
2007,resident,9900
2008,resident,9800
2009,resident,18700
2010,resident,13700
2011,resident,12200
2012,resident,12600
2013,resident,13400
2014,resident,12100
2015,resident,12700
2016,resident,17000
2017,resident,17100
2018,resident,15900
2019,resident,17000
2020,resident,22300
2021,resident,24200
2022,resident,15600
